market,pair,bar_type,n_bars,skew,exkurt,jb,jb_p,ac1,count_cv
crypto,ARBUSDT,volume,649,-0.022928132728062312,1.0842009734121083,31.795052791392333,1.2467862682581805e-07,-0.08410377185484963,0.7649591524880346
crypto,ARBUSDT,dollar,650,-0.26417732515194775,1.3248441582875685,55.01277381166436,1.132734034603046e-12,-0.08482202501867019,1.022070376827666
crypto,ATOMUSDT,time,1096,-0.15631747299392862,2.8494088660695116,374.8947619816569,3.9141439036319744e-82,-0.052983614370108,0.08245921238769882
crypto,ATOMUSDT,tick,1096,-0.093110156688301,0.8936763852306253,38.02093157762866,5.544464530399755e-09,-0.034335553814714134,0.763985005172515
crypto,ATOMUSDT,volume,1095,-0.07574120136970486,0.8220891890437092,31.85261012799915,1.2114168039232808e-07,-0.04756677824024513,0.5423714714873942
crypto,ATOMUSDT,dollar,1096,-0.11675035117230514,0.9442571719722062,43.1678284322471,4.2288780176352874e-10,-0.0011268454536514923,1.1312297331270667
crypto,AVAXUSDT,time,1096,-0.140728737798055,4.655418353771405,992.441312638527,3.1196592073757506e-216,0.007381290980365438,0.08245921238769882
crypto,AVAXUSDT,tick,1096,-0.29055937933301684,0.992439955695847,60.34527102841514,7.873918072932775e-14,0.045428618287805284,0.7317718097992914
crypto,AVAXUSDT,volume,1096,-0.14634309546110372,1.130280315638628,62.19594517137478,3.121203661072303e-14,0.005596038905819659,0.6454266597200654
crypto,AVAXUSDT,dollar,1095,-0.15922957913234148,1.0810636468787962,57.89606830956555,2.67934417603028e-13,0.01720968176923122,0.7803782467117981
crypto,BCHUSDT,time,1096,1.0801879407624986,8.820598259702994,3762.7018533901114,0.0,-0.01183913906130776,0.08245921238769882
crypto,BCHUSDT,tick,1096,0.19655713512904643,3.092601776679736,443.41680889877154,5.1672961898763e-97,0.022124122543576763,1.1037085250502254
crypto,BCHUSDT,volume,1096,-0.12569223723552497,3.968224942647553,721.3314028188963,2.31673343328656e-157,-0.04168040389106017,1.4067666620678163
crypto,BCHUSDT,dollar,1095,-0.24198755926271126,2.6702757788398115,335.70322864786766,1.2675646544769066e-73,-0.0005448809093862964,1.534389649525064
crypto,BNBUSDT,time,1096,-0.36717006057399726,2.9422144641756622,419.5620873571535,7.820784559882391e-92,-0.07076536099699575,0.08245921238769882
crypto,BNBUSDT,tick,1096,-0.2822098791805044,1.9073005081913017,180.5091482054888,6.352380452190223e-40,-0.026345021907753376,0.5473614469299747
crypto,BNBUSDT,volume,1095,-0.22555326887270427,2.019186021039446,195.1244404074079,4.258592876517388e-43,0.027735701114056408,0.5593121703902356
crypto,BNBUSDT,dollar,1096,-0.07250830410374491,4.593668247962267,963.7285616227931,5.3579889959151203e-210,-0.03352990361321003,0.561684158752468
crypto,BTCUSDT,time,1096,0.06666229611842443,3.5632559864012414,580.1021956380729,1.0774788329547994e-126,0.008210397669286709,0.08245921238769882
crypto,BTCUSDT,tick,1096,-0.010602325990887118,0.6622114030743425,20.0281695704981,4.4764963678996594e-05,0.02849306858080111,0.3658904843981828
crypto,BTCUSDT,volume,1096,-0.06119010365645126,0.4986858936843426,12.029694441390083,0.0024422214569467336,0.07124184685799077,0.47328943880094493
crypto,BTCUSDT,dollar,1095,-0.14798036133121223,0.9337872539423726,43.73955063219197,3.177439277802139e-10,-0.022710499602104195,0.40913168000315325
crypto,DOGEUSDT,time,1096,1.356569616008369,12.236315330820437,7167.16451739582,0.0,-0.02252437376062212,0.08245921238769882
crypto,DOGEUSDT,tick,1096,0.059678757408742546,1.7916978777253405,147.11450475086838,1.1336818386499645e-32,-0.0601494474761766,1.20817117612139
crypto,DOGEUSDT,volume,1096,-0.29482356913283986,1.3322817187044507,96.84628610819145,9.334609943116866e-22,0.028420465313676663,0.9131354664947902
crypto,DOGEUSDT,dollar,1096,-0.10494300322540426,1.1261749438360944,59.87469762965702,9.962643889145609e-14,0.00413360902625795,1.5233942449757765
crypto,DOTUSDT,time,1096,0.09192198786349544,5.292379392483099,1279.465444763459,1.4709868037122803e-278,-0.00654367574613012,0.08245921238769882
crypto,DOTUSDT,tick,1096,-0.191778304751245,0.8125600751026685,36.83623564319043,1.0025662094502445e-08,0.02660449820628185,0.6598616338182716
crypto,DOTUSDT,volume,1096,-0.16601652488963392,1.0443863301703136,54.79511184615037,1.262968866783294e-12,0.08773861726375648,0.47036243463758237
crypto,DOTUSDT,dollar,1095,-0.12776595811551628,1.4087425679421477,93.4390953392402,5.128120835751594e-21,-0.048754291572858606,0.6722918634641364
crypto,ETCUSDT,time,1096,1.0213158419533006,7.949172611236579,3073.377078844562,0.0,-0.009407009550642671,0.08245921238769882
crypto,ETCUSDT,tick,1096,-0.0896255406266004,1.3471603141789652,84.2680912142077,5.028245719612604e-19,-0.03287982822952241,0.758773628571126
crypto,ETCUSDT,volume,1095,-0.03706827137015781,1.579785130577446,114.01382127603395,1.7466797268379119e-25,0.025264627637765016,1.0282907665500027
crypto,ETCUSDT,dollar,1096,-0.3021329984287954,2.905595410229882,401.84775753264347,5.493740851281845e-88,-0.006339174348841826,1.328277552706378
crypto,ETHUSDT,time,1096,-0.057834206046524755,3.1931589715257642,465.81498007899194,7.07232617213152e-102,0.019858146457785292,0.08245921238769882
crypto,ETHUSDT,tick,1096,-0.3162459460774208,1.0650343481857965,70.00445213835775,6.291096744609805e-16,0.02932012656444774,0.4335450203861046
crypto,ETHUSDT,volume,1095,-0.26125275992169134,1.9395714571980998,183.92644602890556,1.1504816782214335e-40,0.013112534721784056,0.5640046694031762
crypto,ETHUSDT,dollar,1095,-0.28259949813242136,1.0707030704199454,66.81855573340499,3.094104504886202e-15,0.029624805346588904,0.4439910725925085
