pair,n,d_star,adf_stat_at_dstar,adf_p_at_dstar,corr_level_at_dstar,corr_level_at_d1,window_len,error,ann_vol_proxy,trend_strength
CTSIUSDT,40249.0,0.1,-3.827955317215633,0.002633902390298581,0.9903832765423443,0.006803599897615342,4076.0,,0.012909623098119908,1.3193310377239067
CUSDT,7651.0,0.05,-3.062996717141116,0.029415572974579817,0.9858025094998943,0.012200593004529489,3237.0,,0.01811831187248399,0.6235797561416507
CVCUSDT,9092.0,0.1,-3.6248367976442504,0.0053035736405734986,0.9683362240341795,0.0040376238218759845,4076.0,,0.008546414624325527,1.9168548976323305
CVXUSDT,7452.0,0.05,-4.58591621562775,0.0001371145875992657,0.9915884958134751,0.00956773975715807,3237.0,,0.011242278128262903,1.1530456334002768
CYBERUSDT,24304.0,0.15,-3.085203879183268,0.02766772198407342,0.9852097150689877,0.011232707351032968,3901.0,,0.014393083612405856,1.0062647058756602
DASHUSDT,55359.0,0.1,-3.8561612541534944,0.002382241309468238,0.990846073351445,0.007751533331826684,4076.0,,0.011768535332570414,0.3823700402467853
DEEPUSDT,9668.0,0.1,-3.9725132226997792,0.0015614801156117327,0.9542434574981796,0.01063819059603868,4076.0,,0.012786134969152475,1.1366848884127718
DEXEUSDT,12521.0,0.2,-4.452518672943693,0.0002393594063712389,0.9060410915308811,0.014158679712801067,3382.0,,0.015235050298150418,0.20066367881840155
DIAUSDT,14512.0,0.15,-3.4176690644813554,0.01037108092523942,0.9694603759880849,0.014111998381204348,3901.0,,0.012565677092167948,1.052457380432996
DODOXUSDT,24616.0,0.15,-3.109265473180479,0.025875057336638644,0.987666450957928,0.009832319436119336,3901.0,,0.011942190913595883,1.1341953941298206
DOGEUSDC,20706.0,0.15,-3.889501394579656,0.0021134840860591573,0.9637626644269938,0.01091180962409906,3901.0,,0.01041657027649959,0.15871216717763373
DOGEUSDT,51595.0,0.05,-4.5227800096712265,0.0001788196450135059,0.995817592360141,-0.00035071987789537785,3237.0,,0.013620182776186053,1.0679293701704609
DOGSUSDT,15400.0,0.15,-3.540257895218832,0.007011415671319092,0.9525372571845782,-0.0015756610832535361,3901.0,,0.014227489430853474,1.8259753611390286
DOLOUSDT,9457.0,0.05,-3.0048377473579206,0.03444507877004655,0.9956380684398762,0.01585377787363517,3237.0,,0.017549740978751588,0.36993472427151913
DOODUSDT,9255.0,0.15,-3.543804950938042,0.006930832180201064,0.9718804228252312,0.02459330852714177,3901.0,,0.017481216092989763,0.7378765719362983
DOTUSDT,50565.0,0.15,-4.065946700699875,0.001101956193130276,0.9840512936318894,0.009298196098671873,3901.0,,0.011313134938972496,0.4061867691083
DRIFTUSDT,13621.0,0.2,-2.9736380864645717,0.037430692121795166,0.9796447065332059,0.01848765174849258,3382.0,,0.0155508238714012,1.9458325471564637
DUSDT,12137.0,0.1,-3.1688412853951027,0.021860606805862225,0.9835815330873134,0.002216319595116113,4076.0,,0.017973575371399042,1.3968142516104092
DUSKUSDT,38492.0,0.0,-2.9150747678722246,0.04362288064346051,0.9999999999999998,0.0070510307299913675,1.0,,0.01357162113136852,0.6901923683471974
DYDXUSDT,41348.0,0.15,-3.836997764411488,0.002550670791379516,0.9847790260128897,0.005258907247111633,3901.0,,0.013155167176367518,1.6076893050174825
DYMUSDT,20229.0,0.2,-3.1866396129566144,0.020771173129523184,0.9839747927326845,0.0073966784653787645,3382.0,,0.014871877317463122,2.611864906972098
