market,instrument,d_star,adf_stat,adf_p,corr_level_dstar,corr_level_d1
crypto,LTCUSDC,0.1,-3.519191209867309,0.0075076872467376,0.9842306496860672,0.0186083152441154
crypto,LYNUSDT,0.1,-3.129884320986025,0.0244192179827499,0.9450009995843696,0.0218703290128496
crypto,MASKUSDT,0.1,-3.6920339113877887,0.0042266098442827,0.9883019772776684,0.0080345264428129
crypto,ALGOUSDT,0.1,-3.145557399439001,0.0233603437742909,0.9922254863983406,0.0078458571432231
crypto,AIOUSDT,0.1,-4.400492560283347,0.0002962373933778,0.9614609673058166,0.0357142831501009
crypto,AERGOUSDT,0.1,-5.881762713662412,3.06659525558833e-07,0.9341529492608158,-0.0076807345865133
crypto,AGLDUSDT,0.1,-2.919527070343431,0.0431239310168104,0.9921872398249312,0.0144813148942775
crypto,VIRTUALUSDT,0.1,-3.9966037955680176,0.0014283995547355,0.9811560993477896,0.0158486124965354
crypto,VETUSDT,0.1,-3.4632308649867904,0.0089831686123017,0.9892486944822272,0.0080704233303609
crypto,WCTUSDT,0.1,-3.734257118663067,0.0036563022505307,0.9695649736044596,0.0101011479000563
crypto,ADAUSDT,0.1,-3.674617645027776,0.0044846808038581,0.986459329588026,0.0024587549784858
crypto,XTZUSDT,0.1,-3.3107790124729006,0.0144034741621052,0.9937957653037576,0.0094262159206109
crypto,XVSUSDT,0.1,-3.489655070163145,0.0082567826257492,0.9865107337389248,0.0153374411175957
crypto,YBUSDT,0.1,-4.555026528321555,0.000156203430044,0.958973741002208,-0.0035913167715321
crypto,XRPUSDT,0.1,-3.836150508044319,0.0025583651098974,0.9899946461623466,0.0059883408386064
crypto,YFIUSDT,0.1,-3.241845540282067,0.0176867225313651,0.994017653012694,0.0079792113348736
crypto,WIFUSDC,0.15,-2.993649294097113,0.0354917476723244,0.9772526426601428,0.00779434533485
crypto,XRPUSDC,0.15,-3.3662674125612155,0.0121639922510349,0.9612151880847646,0.0039204193041782
crypto,WLDUSDC,0.15,-3.450066438364064,0.0093660103936588,0.9782387376692032,0.0024243582901358
crypto,WIFUSDT,0.15,-3.193197566401249,0.0203818227338334,0.9776520167475832,0.0116637108356829
crypto,WLDUSDT,0.15,-3.275671929244472,0.0160015861188349,0.9803727807158846,0.0117054691700873
crypto,VICUSDT,0.15,-2.9570985454883023,0.0390997612314428,0.975328420631326,0.0089819070025639
crypto,WOOUSDT,0.15,-3.1781124520896267,0.0212870903384537,0.9876625861644858,0.009351135084617
crypto,WLFIUSDT,0.15,-2.93672925394216,0.0412405719654503,0.9569964405225424,0.0090744996944633
crypto,WAXPUSDT,0.15,-2.96971642892918,0.0378209275555469,0.987668045432693,0.0094737697379828
crypto,AIXBTUSDT,0.15,-3.0852222470876978,0.0276663139376097,0.9740389292783838,0.0078497036524256
crypto,AGTUSDT,0.15,-3.2274366176413225,0.0184504651683526,0.9768740303818442,0.0105643219750737
crypto,AINUSDT,0.15,-3.526710015209626,0.0073270440447958,0.9607901256325072,0.0211122189644461
crypto,ANIMEUSDT,0.15,-3.156418049183799,0.0226500779297756,0.9746570280112138,-0.007756819502907
crypto,ALLUSDT,0.15,-3.058198050083982,0.0298054004754539,0.8952040779509947,0.0075930888480715
crypto,ALICEUSDT,0.15,-4.045362695837492,0.0011907457157103,0.9903167478350666,0.0046231966745823
