d,corr,passed
0.1,0.9508494240286225,0
0.15,0.8952040779509947,1
0.2,0.8441119356104212,1
0.25,0.7067573060042545,1
0.3,0.5771215199964709,1
0.35,0.5309932474264134,1
0.4,0.4482674645148736,1
0.45,0.4439681250874676,1
0.5,0.417522189817303,1
0.55,0.3903322353429564,1
0.6,0.3232127730648983,1
0.65,0.26400839804464077,1
0.7,0.21156474569636108,1
0.75,0.16331628678068263,1
0.8,0.12556187285122627,1
0.85,0.08899487243016344,1
0.9,0.06438379455210777,1
0.95,0.04007162034796979,1
1.0,0.0075930888480715795,1
0.0,0.9999999999999998,0
0.05,0.9937622563139956,1
0.1,0.9350860109903494,1
0.15,0.8262194699369807,1
0.2,0.8479427952893687,1
0.25,0.8423712599445693,1
0.3,0.8064618887064117,1
0.35,0.7338504092341676,1
0.4,0.6509287710265301,1
0.45,0.5646313164920761,1
0.5,0.4795612623922271,1
0.55,0.39828832334971453,1
0.6,0.32366719395882304,1
0.65,0.2594841858630922,1
0.7,0.20485265252413193,1
0.75,0.159093137792405,1
0.8,0.12171984262963592,1
0.85,0.0910004015122377,1
0.9,0.06633554074781504,1
0.95,0.045662489023419496,1
1.0,0.019012721588279297,1
0.0,0.9999999999999998,0
0.05,0.9988285437028911,0
0.1,0.9936559714412211,0
0.15,0.9830737432477497,0
0.2,0.9661255116112111,1
0.25,0.9506206902183767,1
0.3,0.9308154757967986,1
0.35,0.9044326304576176,1
0.4,0.8748276131282163,1
0.45,0.8304038656183214,1
0.5,0.7740332505178622,1
